"","i",".variable",".value",".lower",".upper",".width",".point",".interval","cell_2.5"
"1",1,"psi",0.136022664489632,0.0907645742474981,0.198383806262167,0.5,"median","qi","-81.312_24.562"
"2",2,"psi",0.257456032726522,0.186236903458673,0.344642722256974,0.5,"median","qi","-81.354_24.562"
"3",3,"psi",0.456093461906105,0.363847433530197,0.553882495198766,0.5,"median","qi","-81.396_24.562"
"4",4,"psi",0.878481740181236,0.818432286329894,0.92334369333837,0.5,"median","qi","-81.396_24.604"
"5",5,"psi",0.110352540355977,0.0725267602140094,0.162536751329544,0.5,"median","qi","-81.438_24.521"
"6",6,"psi",0.610282474074667,0.515111609300403,0.698971647215864,0.5,"median","qi","-81.438_24.562"
"7",7,"psi",0.913873474492189,0.866273947453601,0.947603695265898,0.5,"median","qi","-81.438_24.604"
"8",8,"psi",0.138082824690756,0.0929300082906892,0.19758245783223,0.5,"median","qi","-81.479_24.521"
"9",9,"psi",0.737530993322802,0.650580064149216,0.813305381098347,0.5,"median","qi","-81.479_24.562"
"10",10,"psi",0.213333063436746,0.152515553961698,0.288501616079886,0.5,"median","qi","-81.521_24.521"
"11",11,"psi",0.293522900382181,0.221215865757348,0.378042274617709,0.5,"median","qi","-81.562_24.521"
"12",12,"psi",0.807757340352498,0.731213032007919,0.869088609350776,0.5,"median","qi","-81.562_24.562"
"13",13,"psi",0.96634357857465,0.933369536164809,0.983823903183893,0.5,"median","qi","-81.562_24.604"
"14",14,"psi",0.4490044679062,0.360400058912954,0.542994504139714,0.5,"median","qi","-81.604_24.521"
"15",15,"psi",0.89848791736669,0.820283325387746,0.945980512054608,0.5,"median","qi","-81.604_24.562"
"16",16,"psi",0.118543274144337,0.0786227116322501,0.173057540928335,0.5,"median","qi","-81.646_24.479"
"17",17,"psi",0.615960872477691,0.524467524267407,0.703193054531758,0.5,"median","qi","-81.646_24.521"
"18",18,"psi",0.847067104070659,0.779788842810693,0.899556182172502,0.5,"median","qi","-81.646_24.562"
"19",19,"psi",0.144158862589041,0.0985197127097101,0.204648706789102,0.5,"median","qi","-81.688_24.479"
"20",20,"psi",0.636874492037959,0.544891845614714,0.723606299389146,0.5,"median","qi","-81.688_24.521"
"21",21,"psi",0.891851275286231,0.836739356213899,0.93238683783885,0.5,"median","qi","-81.688_24.562"
"22",22,"psi",0.181481722544135,0.127745133255668,0.249368705978351,0.5,"median","qi","-81.729_24.479"
"23",23,"psi",0.65167083473381,0.558985916543907,0.737033729443895,0.5,"median","qi","-81.729_24.521"
"24",24,"psi",0.20605558929191,0.147205403473987,0.280273300016912,0.5,"median","qi","-81.771_24.479"
"25",25,"psi",0.271299879515499,0.201400482134955,0.35252744889579,0.5,"median","qi","-81.812_24.479"
"26",26,"psi",0.0858326284818998,0.0555188864124632,0.128518144040243,0.5,"median","qi","-81.854_24.438"
"27",27,"psi",0.404235501817321,0.313743302073101,0.501184849324262,0.5,"median","qi","-81.854_24.479"
"28",28,"psi",0.0950064419711358,0.062355264522668,0.140302621660127,0.5,"median","qi","-81.896_24.438"
"29",29,"psi",0.342840957627512,0.262447777500109,0.431300379696942,0.5,"median","qi","-81.896_24.479"
"30",30,"psi",0.0926668206889316,0.0606591595282267,0.136743365610981,0.5,"median","qi","-81.938_24.438"
"31",31,"psi",0.29755204035574,0.223503782782368,0.381259685905488,0.5,"median","qi","-81.938_24.479"
"32",32,"psi",0.799223398889443,0.720798478400734,0.863738719884785,0.5,"median","qi","-81.938_24.521"
"33",33,"psi",0.0882175185704762,0.0576753869651558,0.131022418637626,0.5,"median","qi","-81.979_24.438"
"34",34,"psi",0.269999788059831,0.200163652557602,0.351398341005346,0.5,"median","qi","-81.979_24.479"
"35",35,"psi",0.024259197226828,0.0139227166614589,0.0413796138635717,0.5,"median","qi","-80.438_24.938"
"36",36,"psi",0.0544083540334073,0.0335545095285311,0.0854778360425077,0.5,"median","qi","-80.479_24.938"
"37",37,"psi",0.0451075852016007,0.0246491338405004,0.0795102543227839,0.5,"median","qi","-80.521_24.896"
"38",38,"psi",0.2858011825037,0.198686825062433,0.389084551744765,0.5,"median","qi","-80.521_24.938"
"39",39,"psi",0.0292298336934576,0.016816161221321,0.0498027318783866,0.5,"median","qi","-80.562_24.854"
"40",40,"psi",0.110225033404352,0.0694804496922417,0.165745090403649,0.5,"median","qi","-80.562_24.896"
"41",41,"psi",0.481031797515785,0.36863069873858,0.593378883176572,0.5,"median","qi","-80.562_24.938"
"42",42,"psi",0.0550776762449113,0.0336239437599019,0.0871805684539532,0.5,"median","qi","-80.604_24.854"
"43",43,"psi",0.478935962472329,0.364675366305758,0.591784532533691,0.5,"median","qi","-80.604_24.896"
"44",44,"psi",0.0289304854551095,0.01689313129184,0.0481364430468147,0.5,"median","qi","-80.646_24.812"
"45",45,"psi",0.255327383071441,0.180429798590915,0.344510270540077,0.5,"median","qi","-80.646_24.854"
"46",46,"psi",0.0718785618265123,0.0456379892776939,0.109290582166421,0.5,"median","qi","-80.688_24.812"
"47",47,"psi",0.0421733027794376,0.0256363013705746,0.0676933280076056,0.5,"median","qi","-80.729_24.771"
"48",48,"psi",0.0285747982198667,0.0165896660361507,0.0482149381371535,0.5,"median","qi","-80.771_24.729"
"49",49,"psi",0.265114069685917,0.186945302625409,0.354483185610679,0.5,"median","qi","-80.771_24.771"
"50",50,"psi",0.0492553694527597,0.0299151417765754,0.0785033585736293,0.5,"median","qi","-80.812_24.729"
"51",51,"psi",0.15299466975035,0.102596891835274,0.217019292572328,0.5,"median","qi","-80.854_24.729"
"52",52,"psi",0.0285046124848872,0.0167718128974271,0.0473595258651992,0.5,"median","qi","-80.896_24.688"
"53",53,"psi",0.0683983307623834,0.0432197299468254,0.105466911407821,0.5,"median","qi","-80.938_24.688"
"54",54,"psi",0.575293699365474,0.455535578787813,0.684253417681462,0.5,"median","qi","-80.938_24.729"
"55",55,"psi",0.02672748477432,0.0151989916993023,0.0450355869886266,0.5,"median","qi","-80.979_24.646"
"56",56,"psi",0.237947103537787,0.169202850220969,0.320642593554375,0.5,"median","qi","-80.979_24.688"
"57",57,"psi",0.0394439005539779,0.023256927964746,0.0641080166848081,0.5,"median","qi","-81.021_24.646"
"58",58,"psi",0.0770685059583787,0.0483093269294597,0.118448749231442,0.5,"median","qi","-81.062_24.646"
"59",59,"psi",0.552858399885728,0.429525091374388,0.670873821535204,0.5,"median","qi","-81.062_24.688"
"60",60,"psi",0.027979061067179,0.0159924995017765,0.0470017068992271,0.5,"median","qi","-81.104_24.604"
"61",61,"psi",0.240690408022654,0.168625020593668,0.330623839829799,0.5,"median","qi","-81.104_24.646"
"62",62,"psi",0.442885308820137,0.33161120420864,0.558990769848581,0.5,"median","qi","-81.146_24.646"
"63",63,"psi",0.0543289854668436,0.0330864874509685,0.0862101297624728,0.5,"median","qi","-81.188_24.604"
"64",64,"psi",0.115546531395851,0.0754883920534801,0.170797574361433,0.5,"median","qi","-81.229_24.604"
"65",65,"psi",0.312088888610098,0.22190182313808,0.416546101173929,0.5,"median","qi","-81.271_24.604"
"66",66,"psi",0.168838243346183,0.0861094719788036,0.329885364461427,0.5,"median","qi","-80.104_25.438"
"67",67,"psi",0.124598689555191,0.0615850725193461,0.257619344614693,0.5,"median","qi","-80.104_25.479"
"68",68,"psi",0.154106627176821,0.0755422411370254,0.30848975827715,0.5,"median","qi","-80.104_25.521"
"69",69,"psi",0.582198374254645,0.385593103798731,0.782976676337447,0.5,"median","qi","-80.104_25.562"
"70",70,"psi",0.178881464107216,0.0884544356599196,0.350274806932735,0.5,"median","qi","-80.104_25.604"
"71",71,"psi",0.243169416967875,0.127960785048825,0.441551822279659,0.5,"median","qi","-80.104_25.646"
"72",72,"psi",0.119230386336537,0.0586050287087973,0.246654201882623,0.5,"median","qi","-80.146_25.312"
"73",73,"psi",0.174166277163676,0.089392741120784,0.336118516970954,0.5,"median","qi","-80.146_25.354"
"74",74,"psi",0.465709070875789,0.293021532620861,0.682031138860057,0.5,"median","qi","-80.146_25.396"
"75",75,"psi",0.182055241948099,0.0942334747585872,0.347496528306183,0.5,"median","qi","-80.146_25.438"
"76",76,"psi",0.593333305450906,0.409989213042357,0.782360718867417,0.5,"median","qi","-80.146_25.479"
"77",77,"psi",0.136266872856898,0.06778178026222,0.276920065531404,0.5,"median","qi","-80.188_25.229"
"78",78,"psi",0.121904282751473,0.0601854044671284,0.249118064752065,0.5,"median","qi","-80.188_25.271"
"79",79,"psi",0.24387936097208,0.133290890327953,0.43448959152425,0.5,"median","qi","-80.188_25.312"
"80",80,"psi",0.738436399471722,0.570138524729301,0.876492467473955,0.5,"median","qi","-80.188_25.354"
"81",81,"psi",0.819144587672673,0.67364394387668,0.921422233478501,0.5,"median","qi","-80.188_25.396"
"82",82,"psi",0.131967242220874,0.0651539126444185,0.267614462640559,0.5,"median","qi","-80.229_25.146"
"83",83,"psi",0.419919725557481,0.259609983514429,0.633623954362212,0.5,"median","qi","-80.229_25.188"
"84",84,"psi",0.323750921113544,0.188416151914608,0.530463728134581,0.5,"median","qi","-80.229_25.229"
"85",85,"psi",0.685922601234742,0.510495805949227,0.840470366086596,0.5,"median","qi","-80.229_25.271"
"86",86,"psi",0.802607089722157,0.656072339200643,0.910103595888042,0.5,"median","qi","-80.229_25.312"
"87",87,"psi",0.147360574634088,0.073767928140923,0.293483078999954,0.5,"median","qi","-80.271_25.104"
"88",88,"psi",0.266032783179256,0.148339225399911,0.462584579126082,0.5,"median","qi","-80.271_25.146"
"89",89,"psi",0.462174917607412,0.293572202224085,0.671461619276849,0.5,"median","qi","-80.271_25.188"
"90",90,"psi",0.850051176654053,0.724276037048467,0.934079898941837,0.5,"median","qi","-80.271_25.229"
"91",91,"psi",0.231729971091105,0.112972493522356,0.443187054062987,0.5,"median","qi","-80.312_25.062"
"92",92,"psi",0.495707145620677,0.323945657839156,0.698866947511662,0.5,"median","qi","-80.312_25.104"
"93",93,"psi",0.813567561566716,0.668632431821942,0.916039379500381,0.5,"median","qi","-80.312_25.146"
"94",94,"psi",0.899767993739093,0.794395436646491,0.959273873281787,0.5,"median","qi","-80.312_25.188"
"95",95,"psi",0.168213490476278,0.0850218487677539,0.331363899574193,0.5,"median","qi","-80.354_25.021"
"96",96,"psi",0.714427688122594,0.525122398280234,0.864994178141559,0.5,"median","qi","-80.354_25.062"
"97",97,"psi",0.945821008234863,0.879064141454899,0.979526445060738,0.5,"median","qi","-80.354_25.146"
"98",98,"psi",0.226812249720638,0.118780747637065,0.420370010332392,0.5,"median","qi","-80.396_24.979"
"99",99,"psi",0.344895202510116,0.198430583999889,0.560280113700403,0.5,"median","qi","-80.396_25.021"
"100",100,"psi",0.879667051160133,0.764633552027683,0.949729390579872,0.5,"median","qi","-80.396_25.062"
"101",101,"psi",0.23314616681261,0.121502760144793,0.43100183864424,0.5,"median","qi","-80.438_24.979"
"102",102,"psi",0.795677979846776,0.638899537210504,0.907879428830112,0.5,"median","qi","-80.438_25.021"
"103",103,"psi",0.672063721842802,0.482245085589263,0.840394301482082,0.5,"median","qi","-80.479_24.979"
"104",104,"psi",0.00518766025120106,0.0012767596018513,0.018627994582184,0.5,"median","qi","-80.021_26.479"
"105",105,"psi",0.00940595138178162,0.00232500578265086,0.0334896400323651,0.5,"median","qi","-80.021_26.521"
"106",106,"psi",0.00885925097890163,0.00220600600118936,0.0313430980455888,0.5,"median","qi","-80.021_26.562"
"107",107,"psi",0.00677011223767641,0.00163273310081052,0.0248734170736004,0.5,"median","qi","-80.021_26.604"
"108",108,"psi",0.00419963889453486,0.00103122606738894,0.0153225934349435,0.5,"median","qi","-80.021_26.688"
"109",109,"psi",0.0112016177772027,0.00288697789789526,0.0381742930244475,0.5,"median","qi","-80.021_26.729"
"110",110,"psi",0.00788456250106724,0.00201116126012321,0.0274087767623521,0.5,"median","qi","-80.021_26.771"
"111",111,"psi",0.00548555682011405,0.00140060592600931,0.0190621706255594,0.5,"median","qi","-80.021_26.812"
"112",112,"psi",0.00419664483228847,0.00106410197699869,0.0150624701133921,0.5,"median","qi","-80.021_26.854"
"113",113,"psi",0.0023336780675309,0.000570884109242862,0.00869187477891453,0.5,"median","qi","-80.021_26.896"
"114",114,"psi",0.0021119177757044,0.000517064757370297,0.00793852278127825,0.5,"median","qi","-80.021_26.938"
"115",115,"psi",0.00185812209697846,0.000447421541469919,0.00713766848708597,0.5,"median","qi","-80.021_26.979"
"116",116,"psi",0.00185396311731199,0.000454629663392687,0.00698176265970221,0.5,"median","qi","-80.021_27.062"
"117",117,"psi",0.0194127771310248,0.00574725125658585,0.0561070148260105,0.5,"median","qi","-80.062_26.104"
"118",118,"psi",0.0206894650625142,0.00609474565388753,0.0597770851041383,0.5,"median","qi","-80.062_26.146"
"119",119,"psi",0.0173462165746802,0.00505126043348677,0.05121662834176,0.5,"median","qi","-80.062_26.188"
"120",120,"psi",0.0152864158805326,0.00439114812772212,0.0454085582150498,0.5,"median","qi","-80.062_26.229"
"121",121,"psi",0.0112539315226123,0.00311628988144617,0.0343803745142785,0.5,"median","qi","-80.062_26.271"
"122",122,"psi",0.0194394753379735,0.00539048697099022,0.0606772438465342,0.5,"median","qi","-80.062_26.312"
"123",123,"psi",0.0216679788212534,0.00603223284072046,0.0669923762292266,0.5,"median","qi","-80.062_26.354"
"124",124,"psi",0.0219866555620752,0.0061536542962481,0.0659692523861208,0.5,"median","qi","-80.062_26.396"
"125",125,"psi",0.0182327344955004,0.00498301723499671,0.0573609358911286,0.5,"median","qi","-80.062_26.438"
"126",126,"psi",0.00595491218599553,0.0014969097168879,0.021736894392982,0.5,"median","qi","-80.062_26.979"
"127",127,"psi",0.00172758756093877,0.000407375182757319,0.00668618210304565,0.5,"median","qi","-80.062_27.062"
"128",128,"psi",0.00142745866680761,0.000294819259851094,0.00645336409208206,0.5,"median","qi","-80.062_27.104"
"129",129,"psi",0.0019239687524266,0.000349625738273156,0.00976293650253981,0.5,"median","qi","-80.062_27.146"
"130",130,"psi",0.0378745146306885,0.0112995632281758,0.104241730323417,0.5,"median","qi","-80.104_25.771"
"131",131,"psi",0.0387046760607609,0.0116268439235726,0.106644571503126,0.5,"median","qi","-80.104_25.812"
"132",132,"psi",0.0365648087721635,0.0110166946947669,0.102002766173037,0.5,"median","qi","-80.104_25.854"
"133",133,"psi",0.0267985022314371,0.00801226850850003,0.0760493595887456,0.5,"median","qi","-80.104_25.896"
"134",134,"psi",0.0264017413010077,0.00793777996495336,0.0749070104464442,0.5,"median","qi","-80.104_25.938"
"135",135,"psi",0.0273812825205248,0.00815147652221774,0.0771347476459548,0.5,"median","qi","-80.104_25.979"
"136",136,"psi",0.0311903806132867,0.00937988906188112,0.0871813224430917,0.5,"median","qi","-80.104_26.021"
"137",137,"psi",0.0349307473889623,0.010610415333757,0.0972488772792504,0.5,"median","qi","-80.104_26.062"
"138",138,"psi",0.0536989355453813,0.0163684050403994,0.142617592226052,0.5,"median","qi","-80.104_26.104"
"139",139,"psi",0.0520025864613431,0.0158723350657713,0.138717080226276,0.5,"median","qi","-80.104_26.146"
"140",140,"psi",0.0679680559738335,0.0207705707848429,0.178756056219932,0.5,"median","qi","-80.104_26.188"
"141",141,"psi",0.030420195831347,0.00863251471936507,0.0900092335189983,0.5,"median","qi","-80.104_26.229"
"142",142,"psi",0.00476270473612557,0.000968843279829568,0.0208951063621053,0.5,"median","qi","-80.104_27.104"
"143",143,"psi",0.049196418208544,0.00951779408918331,0.208909999815597,0.5,"median","qi","-80.146_27.104"
"144",144,"psi",0.0158150411746597,0.00307182025191613,0.0715484794049246,0.5,"median","qi","-80.146_27.146"
"145",145,"psi",0.655551845381933,0.448796445026956,0.840181838677162,0.5,"median","qi","-82.021_24.438"
"146",146,"psi",0.888044843476136,0.769241981317893,0.956430180881982,0.5,"median","qi","-82.021_24.479"
"147",147,"psi",0.663107235210888,0.456296436506154,0.842561426002448,0.5,"median","qi","-82.062_24.438"
"148",148,"psi",0.668883391538613,0.458827565576457,0.846543996374885,0.5,"median","qi","-82.104_24.438"
"149",149,"psi",0.903970419363352,0.801259779295009,0.963844253182033,0.5,"median","qi","-82.104_24.479"
"150",150,"psi",0.62142362296533,0.41899795657207,0.814180162621112,0.5,"median","qi","-82.146_24.438"
"151",151,"psi",0.646741656504066,0.44962495789833,0.828256910432421,0.5,"median","qi","-82.188_24.438"
"152",152,"psi",0.750242431782137,0.576961150495792,0.886116811080951,0.5,"median","qi","-82.188_24.479"
"153",153,"psi",0.600450741606562,0.403261231296811,0.794373984996477,0.5,"median","qi","-82.229_24.438"
"154",154,"psi",0.88330078733641,0.777872012479733,0.951355438747592,0.5,"median","qi","-82.271_24.521"
"155",155,"psi",0.715727235935349,0.540776166982502,0.867003480994119,0.5,"median","qi","-82.312_24.479"
"156",156,"psi",0.633291242234392,0.449628161449289,0.814905512194567,0.5,"median","qi","-82.396_24.438"
"157",157,"psi",0.578154311068177,0.404020769027604,0.76838201276687,0.5,"median","qi","-82.438_24.438"
"158",158,"psi",0.517474588489865,0.353525602351081,0.716557014959932,0.5,"median","qi","-82.479_24.438"
"159",159,"psi",0.48240685013378,0.323669393601449,0.684626337666042,0.5,"median","qi","-82.521_24.438"
"160",160,"psi",0.480865645000832,0.321982421570361,0.684180623641221,0.5,"median","qi","-82.562_24.438"
"161",161,"psi",0.455942584489179,0.296595854864252,0.66807482847918,0.5,"median","qi","-82.604_24.438"
"162",162,"psi",0.453652993639313,0.294515063522255,0.664154877771738,0.5,"median","qi","-82.604_24.479"
"163",163,"psi",0.649267618521329,0.487046034690047,0.804642900430042,0.5,"median","qi","-82.771_24.646"
"164",164,"psi",0.604779480894934,0.403559016804985,0.792408466807473,0.5,"median","qi","-82.771_24.688"
"165",165,"psi",0.542685111903259,0.383123946716594,0.718400816430696,0.5,"median","qi","-82.771_24.729"
"166",166,"psi",0.656930308275647,0.491082639968479,0.811818569075207,0.5,"median","qi","-82.812_24.646"
"167",167,"psi",0.818245728212453,0.695278693782635,0.908934049715666,0.5,"median","qi","-82.812_24.688"
"168",168,"psi",0.564314384965371,0.40549562373843,0.734957215027292,0.5,"median","qi","-82.812_24.729"
"169",169,"psi",0.608917015336666,0.46597803251751,0.761133108374607,0.5,"median","qi","-82.854_24.604"
"170",170,"psi",0.674072986027732,0.521250979833523,0.818620526324232,0.5,"median","qi","-82.854_24.646"
"171",171,"psi",0.717118103017765,0.571972169207819,0.84555234412456,0.5,"median","qi","-82.854_24.688"
"172",172,"psi",0.542910630359392,0.389311496580673,0.716638492767611,0.5,"median","qi","-82.854_24.729"
"173",173,"psi",0.513968226680546,0.355795129657227,0.704698385294297,0.5,"median","qi","-82.896_24.562"
"174",174,"psi",0.594752012255379,0.454557436346302,0.748386395085673,0.5,"median","qi","-82.896_24.604"
"175",175,"psi",0.65328083654796,0.510326773754702,0.797125822108067,0.5,"median","qi","-82.896_24.646"
"176",176,"psi",0.605394725811373,0.455708215452358,0.762978021883439,0.5,"median","qi","-82.896_24.688"
"177",177,"psi",0.519574258992604,0.368755692432435,0.694094462878793,0.5,"median","qi","-82.896_24.729"
"178",178,"psi",0.510385463254327,0.352320310659595,0.703292569247003,0.5,"median","qi","-82.938_24.562"
"179",179,"psi",0.570630648358106,0.433135709375563,0.727746854583483,0.5,"median","qi","-82.938_24.604"
"180",180,"psi",0.545401591849399,0.399698486745506,0.712248166713475,0.5,"median","qi","-82.938_24.646"
"181",181,"psi",0.554682957718021,0.400862158664625,0.723910699185362,0.5,"median","qi","-82.938_24.688"
"182",182,"psi",0.471212074418001,0.313828369976694,0.671812491754696,0.5,"median","qi","-82.979_24.562"
"183",183,"psi",0.555069704084808,0.404746744595425,0.728213128987578,0.5,"median","qi","-82.979_24.604"
"184",184,"psi",0.518916898810619,0.382779314196234,0.683748502866222,0.5,"median","qi","-82.979_24.646"
"185",185,"psi",0.454007519835019,0.318520214144009,0.625195805442096,0.5,"median","qi","-82.979_24.688"
"186",186,"psi",0.439661201298183,0.302545279396254,0.614894703752065,0.5,"median","qi","-82.979_24.729"
"187",187,"psi",0.561141976093848,0.375789771099736,0.752029923051633,0.5,"median","qi","-83.021_24.604"
"188",188,"psi",0.526631242712158,0.378419244817052,0.699436803746818,0.5,"median","qi","-83.021_24.646"
"189",189,"psi",0.45858142121316,0.325321559484613,0.628991990403603,0.5,"median","qi","-83.021_24.688"
"190",190,"psi",0.483391691335776,0.326865551395234,0.67360073842155,0.5,"median","qi","-83.062_24.562"
"191",191,"psi",0.49530511985975,0.344996366249878,0.681129282993065,0.5,"median","qi","-83.062_24.604"
"192",192,"psi",0.537858875679029,0.390818440370616,0.711740135464451,0.5,"median","qi","-83.062_24.646"
"193",193,"psi",0.48130608533237,0.339025368893115,0.654389765444036,0.5,"median","qi","-83.062_24.688"
"194",194,"psi",0.501322559752669,0.343254277852536,0.687836183805787,0.5,"median","qi","-83.104_24.604"
"195",195,"psi",0.524671188304674,0.371121368778629,0.7024723411769,0.5,"median","qi","-83.104_24.646"
"196",196,"psi",0.355934297047843,0.200877025557755,0.593126812392059,0.5,"median","qi","-65.188_18.271"
"197",197,"psi",0.43975192661019,0.264273098395755,0.674181673476204,0.5,"median","qi","-65.229_18.271"
"198",198,"psi",0.332532915690533,0.184948586060648,0.56639704706177,0.5,"median","qi","-65.229_18.312"
"199",199,"psi",0.256131935427669,0.127422346808067,0.488376509121888,0.5,"median","qi","-65.271_18.146"
"200",200,"psi",0.489902207832587,0.301108191210035,0.720334247802189,0.5,"median","qi","-65.271_18.271"
"201",201,"psi",0.268252852532264,0.14208545745543,0.491396314096358,0.5,"median","qi","-65.271_18.354"
"202",202,"psi",0.287633965509811,0.146398768000555,0.527340356664791,0.5,"median","qi","-65.312_18.104"
"203",203,"psi",0.263294634787079,0.135488604559644,0.48807176908598,0.5,"median","qi","-65.312_18.146"
"204",204,"psi",0.474620806778384,0.287980727506409,0.706847214978251,0.5,"median","qi","-65.312_18.271"
"205",205,"psi",0.392650879617141,0.227867237365679,0.629246685677519,0.5,"median","qi","-65.312_18.312"
"206",206,"psi",0.297842704413783,0.160629134549062,0.531005072596229,0.5,"median","qi","-65.312_18.354"
"207",207,"psi",0.333942598123775,0.17445222125647,0.580948455700173,0.5,"median","qi","-65.354_18.104"
"208",208,"psi",0.41380164315656,0.214122638134667,0.677857790972397,0.5,"median","qi","-65.354_18.146"
"209",209,"psi",0.363027831921479,0.203349850547422,0.601465191467135,0.5,"median","qi","-65.354_18.229"
"210",210,"psi",0.418425976415771,0.247342471571588,0.653456510070648,0.5,"median","qi","-65.354_18.312"
"211",211,"psi",0.408878448883293,0.237385674283538,0.64752796956933,0.5,"median","qi","-65.354_18.354"
"212",212,"psi",0.277347229756288,0.142201222648387,0.514306172453223,0.5,"median","qi","-65.396_18.062"
"213",213,"psi",0.531399726427562,0.320454477807327,0.755996068905986,0.5,"median","qi","-65.396_18.104"
"214",214,"psi",0.348774847919124,0.198012563307447,0.579806265060679,0.5,"median","qi","-65.396_18.229"
"215",215,"psi",0.467798761229405,0.272092337441628,0.704064459266044,0.5,"median","qi","-65.438_18.104"
"216",216,"psi",0.36177157135242,0.200528960979556,0.59680133204071,0.5,"median","qi","-65.438_18.188"
"217",217,"psi",0.375939944601272,0.21264655980257,0.61829973636352,0.5,"median","qi","-65.438_18.354"
"218",218,"psi",0.295455656549073,0.151756819573015,0.534445898640976,0.5,"median","qi","-65.479_18.062"
"219",219,"psi",0.843964491061107,0.688618986144433,0.93721332674544,0.5,"median","qi","-65.479_18.146"
"220",220,"psi",0.657410296247943,0.456671489488256,0.83319519789196,0.5,"median","qi","-65.479_18.188"
"221",221,"psi",0.694153214333437,0.506107783091549,0.857225455031025,0.5,"median","qi","-65.479_18.271"
"222",222,"psi",0.449074949974567,0.270408886795238,0.680808043921903,0.5,"median","qi","-65.479_18.354"
"223",223,"psi",0.940340697422336,0.863326842426694,0.9780429939739,0.5,"median","qi","-65.521_18.146"
"224",224,"psi",0.94669891786862,0.849754476097933,0.984346303472384,0.5,"median","qi","-65.521_18.188"
"225",225,"psi",0.924936556882607,0.841782639764913,0.97137633919033,0.5,"median","qi","-65.521_18.271"
"226",226,"psi",0.543840030349344,0.352081166329846,0.756170854914124,0.5,"median","qi","-65.521_18.354"
"227",227,"psi",0.302173463288749,0.154915900361587,0.544883127607441,0.5,"median","qi","-65.562_18.062"
"228",228,"psi",0.725792827285281,0.52883570624329,0.880688762340242,0.5,"median","qi","-65.562_18.104"
"229",229,"psi",0.742640636076149,0.563285092872407,0.883131633846317,0.5,"median","qi","-65.562_18.354"
"230",230,"psi",0.366764971680641,0.208095349749781,0.602990978657188,0.5,"median","qi","-65.562_18.396"
"231",231,"psi",0.640718160236881,0.425034669697921,0.836212306967019,0.5,"median","qi","-65.604_18.104"
"232",232,"psi",0.942134304972595,0.865069763475742,0.979917599514454,0.5,"median","qi","-65.604_18.188"
"233",233,"psi",0.990974499460416,0.974939434620492,0.997155889427535,0.5,"median","qi","-65.604_18.271"
"234",234,"psi",0.917879448741402,0.824168387190547,0.968383696747292,0.5,"median","qi","-65.604_18.354"
"235",235,"psi",0.557449261800797,0.341539364414153,0.78343984359606,0.5,"median","qi","-65.646_18.104"
"236",236,"psi",0.871466888138802,0.734690792955308,0.952250067791254,0.5,"median","qi","-65.646_18.146"
"237",237,"psi",0.953107773911646,0.888015212666594,0.98384511342869,0.5,"median","qi","-65.646_18.188"
"238",238,"psi",0.626352499280735,0.414877306516641,0.825616924452508,0.5,"median","qi","-65.688_18.104"
"239",239,"psi",0.89799151729925,0.783246161225956,0.962807873170122,0.5,"median","qi","-65.688_18.146"
"240",240,"psi",0.800861060399986,0.632185509444367,0.920133503758838,0.5,"median","qi","-65.729_18.104"
"241",241,"psi",0.693499853109176,0.465521498691011,0.873250965599031,0.5,"median","qi","-65.812_18.062"
"242",242,"psi",0.372029778954804,0.18684377582047,0.648902518833997,0.5,"median","qi","-65.604_18.396"
"243",243,"psi",0.571171351534256,0.337766761472603,0.807339405229965,0.5,"median","qi","-65.646_18.396"
"244",244,"psi",0.487638050574645,0.268884220614377,0.750110927264139,0.5,"median","qi","-65.688_18.396"
"245",245,"psi",0.5415566103374,0.321596393044471,0.785426996026694,0.5,"median","qi","-65.729_18.396"
"246",246,"psi",0.137275779868511,0.0184433487614766,0.603014081209257,0.5,"median","qi","-66.021_18.438"
"247",247,"psi",0.161943343554315,0.0683933584562468,0.369001925764983,0.5,"median","qi","-66.021_18.479"
"248",248,"psi",0.193012721110201,0.0843282416947242,0.420824219070696,0.5,"median","qi","-66.062_18.479"
"249",249,"psi",0.200695251749647,0.0869318753132131,0.43700447687366,0.5,"median","qi","-66.229_18.479"
"250",250,"psi",0.124014847454944,0.0477106650747847,0.310700177397305,0.5,"median","qi","-66.312_18.479"
"251",251,"psi",0.0951464307902431,0.0327696472885182,0.253889971608007,0.5,"median","qi","-66.396_18.479"
"252",252,"psi",0.115483310709873,0.0410202091412963,0.30492045585215,0.5,"median","qi","-66.438_18.479"
"253",253,"psi",0.141396808886371,0.0555013393157684,0.331791541990156,0.5,"median","qi","-66.604_18.479"
"254",254,"psi",0.229268257294514,0.0783770022688188,0.535071931954527,0.5,"median","qi","-66.896_18.479"
"255",255,"psi",0.262710487855577,0.0811731890873135,0.617244223288403,0.5,"median","qi","-66.938_18.479"
"256",256,"psi",0.203058734285974,0.0893321353518667,0.430622516276842,0.5,"median","qi","-67.104_18.521"
"257",257,"psi",0.175127482919081,0.0783085237701333,0.358613438519165,0.5,"median","qi","-67.146_18.479"
"258",258,"psi",0.19901530457254,0.0870325455535851,0.419243194080375,0.5,"median","qi","-67.146_18.521"
"259",259,"psi",0.588594394445627,0.373755123516012,0.785259156041015,0.5,"median","qi","-67.229_18.312"
